event-id,visible,timestamp,location-long,location-lat,argos:lc,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
11967169513,TRUE,27:00.0,-82.24200439,69.5759964,2,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169514,TRUE,33:00.0,-82.22299194,69.59400177,3,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169515,TRUE,14:00.0,-82.22198486,69.59300232,3,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169516,TRUE,47:00.0,-82.19299316,69.58999634,A,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169517,TRUE,38:00.0,-82.47299194,69.625,1,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169518,TRUE,44:00.0,-82.5,69.63500214,2,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169519,TRUE,18:00.0,-82.51800537,69.63600159,1,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169520,TRUE,19:00.0,-82.52200317,69.63600159,2,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169521,TRUE,25:00.0,-82.51501465,69.63500214,2,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169522,TRUE,02:00.0,-82.49200439,69.63500214,2,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169523,TRUE,03:00.0,-82.54501343,69.63899994,1,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169524,TRUE,10:00.0,-82.52200317,69.63800049,1,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169525,TRUE,48:00.0,-82.22000122,69.51899719,A,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169526,TRUE,19:00.0,-82.14199829,69.49099731,B,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169527,TRUE,29:00.0,-82.22799683,69.48400116,B,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169528,TRUE,03:00.0,-82.03399658,69.50800323,B,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169529,TRUE,08:00.0,-82.08499146,69.47200012,A,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169530,TRUE,08:00.0,-82.08499146,69.47299957,A,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169531,TRUE,15:00.0,-81.98199463,69.3789978,B,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169532,TRUE,58:00.0,-81.90701294,69.25,B,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169533,TRUE,11:00.0,-81.04299927,69.20500183,B,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169534,TRUE,57:00.0,-80.93301392,69.18399811,B,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169535,TRUE,35:00.0,-80.82998657,69.09700012,B,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169536,TRUE,56:00.0,-80.62701416,69.07700348,B,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169537,TRUE,11:00.0,-80.70300293,69.06900024,3,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169538,TRUE,18:00.0,-80.7170105,69.06700134,2,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169539,TRUE,53:00.0,-80.64099121,69.05999756,A,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169540,TRUE,51:00.0,-80.35800171,69.0719986,1,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169541,TRUE,41:00.0,-80.20300293,69.24900055,B,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169542,TRUE,52:00.0,-80.15499878,69.24299622,A,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169543,TRUE,24:00.0,-80.20001221,69.30000305,A,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169544,TRUE,08:00.0,-80.19198608,69.34300232,A,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169545,TRUE,53:00.0,-79.94900513,69.40399933,3,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169546,TRUE,34:00.0,-79.91299438,69.45400238,A,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169547,TRUE,12:00.0,-79.79800415,69.5019989,2,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169548,TRUE,31:00.0,-79.75900269,69.51200104,A,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169549,TRUE,47:00.0,-79.74499512,69.52300262,B,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169550,TRUE,50:00.0,-79.76098633,69.52200317,A,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169551,TRUE,32:00.0,-79.67098999,69.58799744,B,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169552,TRUE,05:00.0,-79.50698853,69.55400085,A,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169553,TRUE,13:00.0,-79.32501221,69.65499878,A,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169554,TRUE,30:00.0,-79.35400391,69.66699982,A,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169555,TRUE,08:00.0,-79.24301147,69.73799896,3,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169556,TRUE,48:00.0,-79.21600342,69.74299622,3,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169557,TRUE,31:00.0,-78.93200684,69.86399841,A,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169558,TRUE,07:00.0,-79.08499146,69.93699646,B,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169559,TRUE,10:00.0,-78.8210144,69.84500122,A,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169560,TRUE,38:00.0,-78.87600708,69.84600067,A,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169561,TRUE,38:00.0,-78.88400269,69.84100342,A,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169562,TRUE,49:00.0,-78.88198853,69.84700012,A,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169563,TRUE,18:00.0,-79.00500488,69.83000183,A,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169564,TRUE,07:00.0,-79.16400146,69.76300049,A,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169565,TRUE,07:00.0,-79.36801147,69.60800171,2,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169566,TRUE,30:00.0,-79.38500977,69.59300232,A,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169567,TRUE,54:00.0,-79.37399292,69.58100128,0,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169568,TRUE,07:00.0,-79.45800781,69.54399872,A,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169569,TRUE,40:00.0,-79.50601196,69.54499817,2,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169570,TRUE,43:00.0,-79.44799805,69.54299927,1,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169571,TRUE,22:00.0,-79.40200806,69.57299805,B,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169572,TRUE,24:00.0,-79.44100952,69.54399872,A,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169573,TRUE,05:00.0,-79.60198975,69.53199768,1,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169574,TRUE,21:00.0,-79.61099243,69.52700043,A,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169575,TRUE,24:00.0,-79.90100098,69.47000122,A,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169576,TRUE,07:00.0,-80.00601196,69.44300079,B,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169577,TRUE,45:00.0,-80.06900024,69.43800354,B,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169578,TRUE,47:00.0,-80.12200928,69.41300201,A,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169579,TRUE,25:00.0,-80.11300659,69.41300201,A,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169580,TRUE,25:00.0,-80.11801147,69.41600037,A,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169581,TRUE,27:00.0,-80.11300659,69.40599823,A,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169582,TRUE,22:00.0,-80.33499146,69.59799957,A,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169583,TRUE,27:00.0,-80.34399414,69.59100342,A,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169584,TRUE,04:00.0,-80.54901123,69.60399628,B,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169585,TRUE,10:00.0,-80.39700317,69.60900116,B,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169586,TRUE,08:00.0,-80.50201416,69.6760025,B,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169587,TRUE,51:00.0,-80.54699707,69.65299988,B,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169588,TRUE,51:00.0,-80.92700195,69.66100311,A,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169589,TRUE,18:00.0,-81,69.65200043,B,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169590,TRUE,35:00.0,-81.56100464,69.70600128,B,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169591,TRUE,37:00.0,-81.12701416,69.62999725,A,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169592,TRUE,02:00.0,-81.22399902,69.64299774,B,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169593,TRUE,17:00.0,-81.31100464,69.63899994,A,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169594,TRUE,42:00.0,-81.31201172,69.63200378,A,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169595,TRUE,02:00.0,-81.61300659,69.30999756,B,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169596,TRUE,22:00.0,-81.45999146,69.63600159,A,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169597,TRUE,29:00.0,-81.64599609,69.63999939,A,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169598,TRUE,57:00.0,-81.74301147,69.84799957,B,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169599,TRUE,01:00.0,-82.16299438,69.54100037,B,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169600,TRUE,15:00.0,-82.18301392,69.55999756,2,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169601,TRUE,42:00.0,-82.1789856,69.57800293,B,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169602,TRUE,43:00.0,-82.43099976,69.58100128,B,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169603,TRUE,46:00.0,-82.27301025,69.46499634,B,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169604,TRUE,54:00.0,-81.70199585,69.50499725,B,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169605,TRUE,34:00.0,-81.43301392,69.25900269,B,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169606,TRUE,27:00.0,-81.22000122,69.20899963,A,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169607,TRUE,08:00.0,-81.17999268,69.1740036,1,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169608,TRUE,34:00.0,-81.38101196,69.18800354,B,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169609,TRUE,14:00.0,-81.07699585,69.125,A,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169610,TRUE,49:00.0,-81.06100464,69.11699677,B,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169611,TRUE,49:00.0,-81.04098511,69.12200165,B,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169612,TRUE,55:00.0,-81.07501221,69.11199951,B,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169613,TRUE,30:00.0,-81.05599976,69.08399963,A,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169614,TRUE,39:00.0,-80.90301514,69.07499695,0,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169615,TRUE,11:00.0,-80.84399414,69.03600311,1,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169616,TRUE,46:00.0,-80.80499268,69.03900146,1,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169617,TRUE,25:00.0,-80.8039856,69.02899933,3,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169618,TRUE,51:00.0,-80.82901001,69.02500153,1,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169619,TRUE,07:00.0,-79.98001099,69.47799683,B,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169620,TRUE,12:00.0,-80.72601318,68.9960022,A,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169621,TRUE,14:00.0,-80.37298584,68.79599762,B,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169622,TRUE,02:00.0,-81.61999512,69.30500031,B,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169623,TRUE,25:00.0,-80.60198975,68.93399811,A,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169624,TRUE,49:00.0,-80.56698608,68.9240036,B,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169625,TRUE,07:00.0,-80.52999878,68.87799835,A,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169626,TRUE,31:00.0,-80.53399658,68.86100006,A,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169627,TRUE,11:00.0,-80.30099487,68.76499939,B,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169628,TRUE,50:00.0,-80.49301147,68.79299927,1,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169629,TRUE,56:00.0,-80.55599976,68.77999878,A,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169630,TRUE,27:00.0,-80.70098877,68.80200195,B,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169631,TRUE,44:00.0,-80.88699341,68.80999756,B,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169632,TRUE,07:00.0,-81.67498779,68.76999664,B,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169633,TRUE,29:00.0,-80.05099487,68.91300201,B,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169634,TRUE,45:00.0,-81.06298828,68.875,B,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169635,TRUE,25:00.0,-80.46798706,68.73999786,3,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169636,TRUE,50:00.0,-80.65701294,68.69200134,B,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169637,TRUE,13:00.0,-81.61499023,68.93699646,B,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169638,TRUE,00:00.0,-79.78100586,68.20899963,B,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169639,TRUE,03:00.0,-80.52398682,68.58200073,B,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169640,TRUE,28:00.0,-81.17498779,68.53399658,B,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169641,TRUE,05:00.0,-80.23199463,68.65399933,B,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169642,TRUE,45:00.0,-81.06298828,68.73899841,1,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169643,TRUE,25:00.0,-81.02301025,68.74700165,A,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169644,TRUE,40:00.0,-81.02200317,68.7460022,1,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169645,TRUE,46:00.0,-81.01501465,68.74700165,A,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169646,TRUE,53:00.0,-81.00100708,68.76599884,B,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169647,TRUE,38:00.0,-81.35598755,68.83000183,B,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169648,TRUE,48:00.0,-81.57699585,68.92299652,B,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169649,TRUE,26:00.0,-81.67199707,68.90200043,B,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169650,TRUE,10:00.0,-81.62200928,68.91999817,A,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169651,TRUE,13:00.0,-81.54998779,68.91899872,B,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169652,TRUE,45:00.0,-81.55801392,68.94000244,B,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169653,TRUE,08:00.0,-81.65100098,68.91699982,B,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169654,TRUE,08:00.0,-81.63299561,68.93099976,B,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169655,TRUE,49:00.0,-81.2829895,68.94599915,B,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169656,TRUE,20:00.0,-81.43701172,68.88899994,B,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169657,TRUE,23:00.0,-81.1499939,68.96299744,B,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169658,TRUE,04:00.0,-80.70800781,68.9509964,B,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169659,TRUE,05:00.0,-80.84500122,68.93399811,A,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169660,TRUE,05:00.0,-80.83599854,68.94000244,A,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
11967169661,TRUE,14:00.0,-80.82800293,68.93699646,3,argos-doppler-shift,Pusa hispida,94529,94529,Ringed seals Igloolik
